0,label,score,Datetime,Text,Username,Hashtag
"{'label': 'Negative', 'score': 0.9108961820602417}",Negative,0.9108961820602417,2022-04-16 01:59:12+00:00,"Yeah, go suck an egg Josh. No one likes you, or any republican for that matter.
#TimRyan
#VoteBlue2022 https://t.co/dC3KM5F7bh",LaDiDaStorm,TimRyan
"{'label': 'Neutral', 'score': 0.7293540239334106}",Neutral,0.7293540239334106,2022-04-16 02:07:11+00:00,"#VoteBlue
#TimRyan https://t.co/jQMZj9pNjl",LaDiDaStorm,TimRyan
"{'label': 'Neutral', 'score': 0.5280981063842773}",Neutral,0.5280981063842773,2022-04-16 03:04:25+00:00,#timRyan is working for #americans https://t.co/b2rxwDK3XC,Annimallover,TimRyan
"{'label': 'Negative', 'score': 0.848501980304718}",Negative,0.848501980304718,2022-04-16 07:06:12+00:00,#JDVance is a blithe moron. Support #TimRyan for Ohio Senate! https://t.co/qWwxSD3Moh,garymwalters,TimRyan
"{'label': 'Neutral', 'score': 0.7637755274772644}",Neutral,0.7637755274772644,2022-04-16 08:06:16+00:00,@SteveSchmidtSES @TimRyan #Ohio and #USA need #TimRyan in the #Senate,joycecordi,TimRyan
"{'label': 'Negative', 'score': 0.49433279037475586}",Negative,0.49433279037475586,2022-04-16 13:40:34+00:00,@TimRyan #TimRyan is spinning the #Trump endorsement as a bad thing for #JDVance . If Mr. Trump has a rally in #Ohio it’s all over but Tim Ryan finding a new source of income.,welchsa,TimRyan
"{'label': 'Negative', 'score': 0.8223814964294434}",Negative,0.8223814964294434,2022-04-16 13:55:35+00:00,@JoJoFromJerz @MollyJongFast This statement is misguided at best. Predictable and hyperbole as the process of politicians endorsing other politicians is basically a time honored tradition in EVERY election. #TimRyan #JDVance #Ohio #Trump,welchsa,TimRyan
"{'label': 'Negative', 'score': 0.797920286655426}",Negative,0.797920286655426,2022-04-16 23:50:22+00:00,"@SteveSchmidtSES What do BLACK PA voters have in common with #AhmaudArbery #NeverFetterman Black Dem Ohioan &amp; I can tell you on everything if #TimRyan pulled a shotgun on an unarmed Black jogger, I’d work like hell to defeat him. How dare you suggest Black PA Dems vote for a racist vigilante!",TashaCNS,TimRyan
"{'label': 'Neutral', 'score': 0.9108540415763855}",Neutral,0.9108540415763855,2022-04-17 04:20:31+00:00,#TimRyan https://t.co/51V4YeRvzW,AndThatAndThis,TimRyan
"{'label': 'Neutral', 'score': 0.8796623349189758}",Neutral,0.8796623349189758,2022-04-17 14:12:42+00:00,"YES to #TimRyan

No to #JDVance https://t.co/ZHLDlMaKna",AndThatAndThis,TimRyan
"{'label': 'Neutral', 'score': 0.7999157905578613}",Neutral,0.7999157905578613,2022-04-17 17:17:05+00:00,"Trump didn’t endorse only JD Vance. 

Turns out he also endorsed ⁦@TimRyan⁩

Trump believes #TimRyan is a stronger candidate than people give him credit for, and said Ryan “pretends to be a Trump Democrat.”

Translation: Trump knows Ryan connects. 

 https://t.co/nW0OjLTLnu",scovilleunits,TimRyan
"{'label': 'Neutral', 'score': 0.4734651744365692}",Neutral,0.4734651744365692,2022-04-17 18:03:07+00:00,"Nope, nyet, and aaarrrrggghhhh.
Support #TimRyan if you can. https://t.co/jVFBCH41mc",KCBoyd3,TimRyan
"{'label': 'Neutral', 'score': 0.9263226985931396}",Neutral,0.9263226985931396,2022-04-18 21:06:47+00:00,@sowegaCat #timryan #ohioblue,FussMerle,TimRyan
"{'label': 'Negative', 'score': 0.4696497619152069}",Negative,0.4696497619152069,2022-04-18 22:26:17+00:00,"I’m going on the record, this won’t hurt Vance, Trump will probably take it as a compliment.

 #JDVance #OhioSenate #TimRyan #TrumpCult #Ohio #trumpisnotwell #GOPHypocrisy https://t.co/cydJvJV0f3",Repeatthefacts,TimRyan
"{'label': 'Neutral', 'score': 0.9275116324424744}",Neutral,0.9275116324424744,2022-04-18 23:04:45+00:00,#OHSen #TimRyan https://t.co/DdG9QLIqnw,snoozeq1,TimRyan
"{'label': 'Positive', 'score': 0.49689576029777527}",Positive,0.49689576029777527,2022-04-19 17:07:22+00:00,"FLIP #OH BLUE!

ELECT #TimRYAN
for SENATE!!

https://t.co/dpScONUn68",redhed67,TimRyan
"{'label': 'Negative', 'score': 0.7380561232566833}",Negative,0.7380561232566833,2022-04-19 18:18:45+00:00,"@harspector Rand Paul &amp; Mike Gibbons
DFG &amp; JD Vance 
Ohio needs help. The solution is to vote for #TimRyan",d_lockwood1960,TimRyan
"{'label': 'Negative', 'score': 0.9052333235740662}",Negative,0.9052333235740662,2022-04-19 18:25:47+00:00,@RepTimRyan Stop sending me unsolicited text messages to support your campaign. You do not have legal documentation of my permission. Your campaign staff is using contact information illegally. #TimRyan #TextMessageSpam,MalachiW,TimRyan
"{'label': 'Negative', 'score': 0.632060170173645}",Negative,0.632060170173645,2022-04-19 20:12:04+00:00,"@paulkrugman Awesome piece! It sounds like Germany before Hitler. They have also stop participating in democracy. Republicans Say, ‘Let Them Eat Hate’ https://t.co/WVwUNWfqvC #JDVance",kingarthrowe,JDVance
"{'label': 'Neutral', 'score': 0.8170125484466553}",Neutral,0.8170125484466553,2022-04-19 20:24:40+00:00,So. About #JDVance....,VerbumIgnis,JDVance
"{'label': 'Positive', 'score': 0.8006008267402649}",Positive,0.8006008267402649,2022-04-19 20:27:19+00:00,"#JDVance wrote ""Hillbilly Elegy"". I read it. It became a #Netflix hit. 
Dude got $45 million for it. 
https://t.co/U6e4c3GqTZ",VerbumIgnis,JDVance
"{'label': 'Neutral', 'score': 0.6099371314048767}",Neutral,0.6099371314048767,2022-04-19 20:31:35+00:00,"JD Vance: Im GoNnA TaKe oN ThE eLiTeS &amp; BiG TeCh!!!!

Also @JDVance1: I'm #BigTech billionaire Peter Thiel's puppet to the tune of $13 Million.

#OHSen #Ohio #JDVance #PeterThiel @OhioQuit @TheJordanWatch @OHDems @OhioYD @joshmandelohio @scottmguthrie @MikeGibbonsOH @JaneTimkenOH https://t.co/P1c3uWRMOu",MatHelman,JDVance
"{'label': 'Neutral', 'score': 0.7214871048927307}",Neutral,0.7214871048927307,2022-04-19 20:38:12+00:00,"@GOP Candidate #JDVance 
said #Trump might be 
'#AmericasHitler' in 2016 
text message https://t.co/MhGsEckRuH @TheView @cspanwj",2Freelancer,JDVance
"{'label': 'Neutral', 'score': 0.5099824666976929}",Neutral,0.5099824666976929,2022-04-19 21:03:03+00:00,"I am throttled here on TW so I would like to ask a few of my friends to help me get this info out. #JDVance has some interesting connections...
@AngelWa33017557 @miss_sonar @pepesgrandma @PepetheBaker @Cyrellys1 @Tinker_Sparked @ArgOFawkurself @AreYouAwaQe @RaeAnon @Froggyking84 https://t.co/QElKa6pcWA",VerbumIgnis,JDVance
"{'label': 'Neutral', 'score': 0.6487315893173218}",Neutral,0.6487315893173218,2022-04-19 21:06:45+00:00,"@411_JustLook @12MonkeyComms @_YvonneBurton @BYounger13 @libertybelle025 @AgesSnark @DamonRiddle3 @Soulshaker007 @SouSanDiego @capeandcowell 
#JDVance #Trump 

Many thanks to those I tagged...so many more I could ask, but it's hard to find you all. Much appreciation https://t.co/QElKa6pcWA",VerbumIgnis,JDVance
"{'label': 'Negative', 'score': 0.5843982696533203}",Negative,0.5843982696533203,2022-04-19 21:09:26+00:00,"@ProjectLincoln “Dark MAGA is trying to unite these groups around the same goals, ‘as a way of unifying mainstream conservatives with hardline white nationalists and white supremacists.’”

#DFG #TFG #Racists #GOP #QANON #JDVance #JoshMandel",qaarismatic,JDVance
"{'label': 'Neutral', 'score': 0.9127614498138428}",Neutral,0.9127614498138428,2022-04-19 21:17:44+00:00,"392
@UCRiverside

#JDVance 
JD Vance pregunta a los estadounidenses ¿Odian a los mexicanos? Donand Trump respalda a Vance porque Donald Trump odia a los mexicanos. Greg Abbot quiere transportar en autobús a los migrantes a Washington D.C",corrigan_david,JDVance
"{'label': 'Negative', 'score': 0.4969114065170288}",Negative,0.4969114065170288,2022-04-19 21:27:53+00:00,"More about #JDVance:
https://t.co/ETDruKFrex
""At his most hypocritical, Vance, a millionaire banker who’s been affiliated with at least three venture capital firms, is aligning himself with the GOP’s war on woke capitalism.""",VerbumIgnis,JDVance
"{'label': 'Negative', 'score': 0.906937837600708}",Negative,0.906937837600708,2022-04-19 21:35:23+00:00,@Jim_Jordan #GOPBetrayedAmerica Never got the chance: Freedumb #Ohio #JDVance https://t.co/aJfl22krUv,celebritykdawg5,JDVance
"{'label': 'Neutral', 'score': 0.5959392786026001}",Neutral,0.5959392786026001,2022-04-19 21:39:57+00:00,"@JDVance1 .@JDVance1 in 2016 referred to Trump as ""America's Hitler.""
So what does that now make JD Vance? ""America's Goebbels? America's Himmler?

#JDVance https://t.co/P63s2mDwW1",ionsedge,JDVance
"{'label': 'Neutral', 'score': 0.6855912804603577}",Neutral,0.6855912804603577,2022-04-19 22:48:48+00:00,"Ohio's #JDVance supporters include billionaire #PeterThiel, #TuckerCarlsonRussianAsset &amp; #DonaldTrumpJr, all who lobbied on his behalf. Trump was concerned about Vance’s standing in the polls (he has trailed in many) but was convinced by the grift &amp; JDVance ""being good on TV"".",MJMusicEars,JDVance
"{'label': 'Neutral', 'score': 0.5068148374557495}",Neutral,0.5068148374557495,2022-04-19 22:56:37+00:00,"@DonaldJTrumpJr @JDVance1 I don't trust Donald Trump. The people pictured agree with me. I gladly stand behind their opinions of Trump. Their integrity and inteliigence is solid. On the other hand, you, Junior... not so much. If JD Vance supports Trump, he is unworthy of any office. #JDVance",ventintothemic,JDVance
"{'label': 'Negative', 'score': 0.8952828645706177}",Negative,0.8952828645706177,2022-04-19 23:46:53+00:00,"Trump = Americas Hitler

#americashitler #Hitler #TrumpCult #TrumpIsACriminal #TrumpIsATraitor #JDVance @jdvance #RepublicansAreDestroyingAmerica #republicans 

https://t.co/XVV51RJZDm",justrying4,JDVance
"{'label': 'Neutral', 'score': 0.9034715890884399}",Neutral,0.9034715890884399,2022-04-20 00:30:58+00:00,"201
@csuf

#JDVance 
JD Vance pregunta a los estadounidenses ¿Odian a los mexicanos? Donand Trump respalda a Vance porque Donald Trump odia a los mexicanos. Greg Abbot quiere transportar en autobús a los migrantes a Washington D.C",corrigan_david,JDVance
"{'label': 'Neutral', 'score': 0.8893548846244812}",Neutral,0.8893548846244812,2022-04-20 00:48:37+00:00,#timryan https://t.co/YplebwjK2W,aimdre,TimRyan
"{'label': 'Negative', 'score': 0.5372695922851562}",Negative,0.5372695922851562,2022-04-20 01:39:16+00:00,JD Vance: Powerful people are trying to destroy Trump and his family | W... https://t.co/o4JoNvgXn8 via @YouTube #JDVance cc @DonaldJTrumpJr,geoff_deweaver,JDVance
"{'label': 'Negative', 'score': 0.636994481086731}",Negative,0.636994481086731,2022-04-20 02:54:42+00:00,Add a little orange bronzer and dude sounds like 2016 #Trump… #ohiosen #OHSen #timryan #JDVance https://t.co/tzefNq2rhW,rightformight,JDVance
"{'label': 'Negative', 'score': 0.636994481086731}",Negative,0.636994481086731,2022-04-20 02:54:42+00:00,Add a little orange bronzer and dude sounds like 2016 #Trump… #ohiosen #OHSen #timryan #JDVance https://t.co/tzefNq2rhW,rightformight,TimRyan
"{'label': 'Neutral', 'score': 0.902789294719696}",Neutral,0.902789294719696,2022-04-20 04:19:32+00:00,"507
@csuf

#JDVance 
JD Vance pregunta a los estadounidenses ¿Odian a los mexicanos? Donand Trump respalda a Vance porque Donald Trump odia a los mexicanos. Greg Abbot quiere transportar en autobús a los migrantes a Washington D.C",corrigan_david,JDVance
"{'label': 'Neutral', 'score': 0.9011668562889099}",Neutral,0.9011668562889099,2022-04-20 04:27:14+00:00,"557
@csuf

#JDVance 
JD Vance pregunta a los estadounidenses ¿Odian a los mexicanos? Donand Trump respalda a Vance porque Donald Trump odia a los mexicanos. Greg Abbot quiere transportar en autobús a los migrantes a Washington D.C",corrigan_david,JDVance
"{'label': 'Neutral', 'score': 0.9018096327781677}",Neutral,0.9018096327781677,2022-04-20 04:30:24+00:00,"580
@csuf

#JDVance 
JD Vance pregunta a los estadounidenses ¿Odian a los mexicanos? Donand Trump respalda a Vance porque Donald Trump odia a los mexicanos. Greg Abbot quiere transportar en autobús a los migrantes a Washington D.C",corrigan_david,JDVance
"{'label': 'Neutral', 'score': 0.9130558967590332}",Neutral,0.9130558967590332,2022-04-20 07:26:28+00:00,"112
@sdut

#JDVance 
JD Vance pregunta a los estadounidenses ¿Odian a los mexicanos? Donand Trump respalda a Vance porque Donald Trump odia a los mexicanos. Greg Abbot quiere transportar en autobús a los migrantes a Washington D.C",corrigan_david,JDVance
"{'label': 'Negative', 'score': 0.5388559699058533}",Negative,0.5388559699058533,2022-04-20 11:41:40+00:00,"@JDVance1 

I'm going to tweet this at you, about you, every single day. 😏

#JDVance 
#GOPTraitorsToDemocracy https://t.co/NvBpgJpQlV",cryptoe2020,JDVance
"{'label': 'Neutral', 'score': 0.6313971281051636}",Neutral,0.6313971281051636,2022-04-20 12:08:10+00:00,#Ohio #AdVance #JDVance to #USSenate. @JDVance1 #AdvanceJDVance #AdvanceVance! https://t.co/qRe0z0YMIh,RonRonkmfa,JDVance
"{'label': 'Neutral', 'score': 0.8966614603996277}",Neutral,0.8966614603996277,2022-04-20 13:20:08+00:00,"Next Trump Rally Scheduled This Saturday in Delaware, Ohio (April 23)
https://t.co/C1rzgtqo8L
#delaware #endorsement #JdVance #Ohio #senate",PresElectNews,JDVance
"{'label': 'Neutral', 'score': 0.5669052600860596}",Neutral,0.5669052600860596,2022-04-20 15:25:56+00:00,@JDVance #jdvance Calls Trump ‘America’s Hitler’ In Leaked Texts https://t.co/iD41s7GjU5 via @YouTube,RealLibWarrior,JDVance
"{'label': 'Negative', 'score': 0.842875599861145}",Negative,0.842875599861145,2022-04-20 15:26:48+00:00,"@AndrewJTobias How pathetic! “Trump, you’re in the WRONG swamp. You’re supposed to be in OUR swamp”.

😂

#JDVance #ohio #trumpSwamp #GQPClownShow",uhh_merica,JDVance
"{'label': 'Neutral', 'score': 0.9161189198493958}",Neutral,0.9161189198493958,2022-04-20 16:36:01+00:00,"101
@SantaAnaCollege

#JDVance 
JD Vance pregunta a los estadounidenses ¿Odian a los mexicanos? Donand Trump respalda a Vance porque Donald Trump odia a los mexicanos. Greg Abbot quiere transportar en autobús a los migrantes a Washington D.C",corrigan_david,JDVance
"{'label': 'Neutral', 'score': 0.9209536910057068}",Neutral,0.9209536910057068,2022-04-20 16:43:36+00:00,"149
@SantaAnaCollege

#JDVance 
JD Vance pregunta a los estadounidenses ¿Odian a los mexicanos? Donand Trump respalda a Vance porque Donald Trump odia a los mexicanos. Greg Abbot quiere transportar en autobús a los migrantes a Washington D.C",corrigan_david,JDVance
"{'label': 'Neutral', 'score': 0.9220220446586609}",Neutral,0.9220220446586609,2022-04-20 16:50:53+00:00,"195
@SantaAnaCollege

#JDVance 
JD Vance pregunta a los estadounidenses ¿Odian a los mexicanos? Donand Trump respalda a Vance porque Donald Trump odia a los mexicanos. Greg Abbot quiere transportar en autobús a los migrantes a Washington D.C",corrigan_david,JDVance
"{'label': 'Neutral', 'score': 0.9220969080924988}",Neutral,0.9220969080924988,2022-04-20 16:58:11+00:00,"33
@PalmdaleCA
 
#JDVance 
JD Vance pregunta a los estadounidenses ¿Odian a los mexicanos? Donand Trump respalda a Vance porque Donald Trump odia a los mexicanos. Greg Abbot quiere transportar en autobús a los migrantes a Washington D.C",corrigan_david,JDVance
"{'label': 'Neutral', 'score': 0.8875382542610168}",Neutral,0.8875382542610168,2022-04-20 18:05:57+00:00,"HAPPENING NOW: 

Donald Trump Jr. in Independence, OH outside Cleveland, to support U.S. Senate candidate for Ohio, JD Vance

@SpectrumNews1OH 

#Ohio #JDVance #Trump https://t.co/zMiFxZo7ZC",KMazurNews,JDVance
"{'label': 'Negative', 'score': 0.8424462676048279}",Negative,0.8424462676048279,2022-04-20 18:07:39+00:00,"@politicoalex 🤮

#TimRyan
#VoteBlueIn2022",nmarz101,TimRyan
"{'label': 'Neutral', 'score': 0.8219528198242188}",Neutral,0.8219528198242188,2022-04-20 18:23:00+00:00,"Trump Endorses JD Vance In Ohio Senate Primary
#JDVance #OhioPolitics #Senate 
https://t.co/lko0ZLwwsz",upoliticsnow,JDVance
"{'label': 'Positive', 'score': 0.7838384509086609}",Positive,0.7838384509086609,2022-04-20 19:33:49+00:00,#JDVance was onto something but happy to get #TrumpCoupAttempt endorsement! https://t.co/QRZwAXUfZV,johnnycorazon,JDVance
"{'label': 'Neutral', 'score': 0.9271727204322815}",Neutral,0.9271727204322815,2022-04-20 20:00:37+00:00,"135
@LancasterCA

#JDVance 
JD Vance pregunta a los estadounidenses ¿Odian a los mexicanos? Donand Trump respalda a Vance porque Donald Trump odia a los mexicanos. Greg Abbot quiere transportar en autobús a los migrantes a Washington D.C",corrigan_david,JDVance
"{'label': 'Negative', 'score': 0.9321144819259644}",Negative,0.9321144819259644,2022-04-20 20:13:05+00:00,And just as you thought #JDVance couldn’t get any more disgusting. How can anybody take him serious as a candidate for the Senate when he is not willing to spend a few hours to understand the war in Ukraine? https://t.co/EicT3n2JUw,ulrik_s,JDVance
"{'label': 'Negative', 'score': 0.8522893786430359}",Negative,0.8522893786430359,2022-04-20 20:35:44+00:00,@JDVance1 is as honest and genuine as #donaldtrump   @JDVance1 is a scumbag.   #JDVance also hates the @Browns https://t.co/kTHtmEQ55r,HOWS00NISN0W,JDVance
"{'label': 'Neutral', 'score': 0.832399308681488}",Neutral,0.832399308681488,2022-04-20 21:13:54+00:00,Ratings galore #JDVance #GOP https://t.co/8ZtyA7AdS4,ahkautan,JDVance
"{'label': 'Neutral', 'score': 0.582240641117096}",Neutral,0.582240641117096,2022-04-20 21:22:34+00:00,@RonFilipkowski One of the reporters in the crowd should have said this to #JDVance 🤣🤣🤣 https://t.co/GfpcZbLZev,EndTrumpGQP,JDVance
"{'label': 'Neutral', 'score': 0.5413329005241394}",Neutral,0.5413329005241394,2022-04-20 21:24:59+00:00,@DonaldJTrumpJr @JDVance1 Here’s a picture of #JDVance military service 🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/HdgyLmj53C,EndTrumpGQP,JDVance
"{'label': 'Negative', 'score': 0.8788028359413147}",Negative,0.8788028359413147,2022-04-20 21:29:24+00:00,"@RonFilipkowski Oh My! #JDVance has the discernment of a #PileOfDung, the only #Corruption #CaptBoneSpurs revealed was his own, never mind stealing WH Docs, his ""HealthPlan"",  etc, etc. #TiresomeDrivel.",CTD3,JDVance
"{'label': 'Neutral', 'score': 0.8360806107521057}",Neutral,0.8360806107521057,2022-04-20 21:56:16+00:00,@JDVance1 @DonaldJTrumpJr Are his eyes open? #DonJR #JDVance https://t.co/ryyO8JuDCD,Dgillbert,JDVance
"{'label': 'Negative', 'score': 0.5954886078834534}",Negative,0.5954886078834534,2022-04-20 22:09:41+00:00,"#JDVance on Trump being America's Hitler. My, how things change when you think power may come your way. https://t.co/mcmZ1h61CC",MsTrishLynn,JDVance
"{'label': 'Neutral', 'score': 0.4921547770500183}",Neutral,0.4921547770500183,2022-04-20 22:29:20+00:00,#JDVance : Endorsed by “America’s #Hitler” https://t.co/UpuArwZmfP,justfara,JDVance
"{'label': 'Negative', 'score': 0.8929293751716614}",Negative,0.8929293751716614,2022-04-20 22:58:21+00:00,"But outside of the fact that #Russia is slaughtering civilians and raping women in #Ukraine...outside of that, lets pretend we don't have all the facts and not get too distracted.
People like #JDVance are so vile. https://t.co/Ocpr2QgNaq",BKsCorner,JDVance
